Anon_PropID,Review Year,Web TRC,score.mean,score.sd,Min Score,Max Score,range,N Votes,Panel
PRX0001,2000,0,2.2,0.43,NA,NA,NA,13,d00
PRX0002,2000,0,1.7,0.19,NA,NA,NA,13,d00
PRX0003,2000,2.62690191552131,1.7,0.26,NA,NA,NA,3,mail00
PRX0004,2000,1.59538990863241,1.6,0.15,NA,NA,NA,13,c00
PRX0005,2000,2.64632932284162,1.9,0.08,NA,NA,NA,13,d00
PRX0006,2000,0,1.6,0.26,NA,NA,NA,11,e00
PRX0007,2000,0.148319539616149,2,0.27,NA,NA,NA,13,d00
PRX0008,2000,3.62513908330641,1.7,0.57,NA,NA,NA,12,b00
PRX0009,2000,6.16623011385699,1.5,0.12,NA,NA,NA,13,a00
PRX0010,2000,3.90926846734636,1.7,0.15,NA,NA,NA,13,a00
PRX0011,2000,0.255996938130201,2.1,0.32,NA,NA,NA,12,b00
PRX0012,2000,1.20829516029214,1.4,0.13,NA,NA,NA,11,e00
PRX0013,2000,5.1,2.2,0.34,NA,NA,NA,13,d00
PRX0014,2000,0,2.2,0.35,NA,NA,NA,3,mail00
PRX0015,2000,0,1.8,0.25,NA,NA,NA,3,mail00
PRX0016,2001,1.29813762391667,1.75455,0.19679,1.4,2,0.6,11,b01
PRX0017,2001,0.79,2.27143,0.42314,1.7,3,1.3,7,d01
PRX0018,2001,0.3,2.09167,0.38485,1.5,3,1.5,12,f01
PRX0019,2001,0.266975171309068,2.04286,0.522357,1.6,3,1.4,7,b01
PRX0020,2001,0.043,2.375,0.33609,1.5,2.6,1.1,12,a01
PRX0021,2001,0.55,1.51667,0.03892,1.5,1.6,0.1,12,a01
PRX0022,2001,1.22077215601369,2.4,0.385861230093007,1.9,3,1.1,10,a01
PRX0023,2001,0,2.49167,0.32602,2,3,1,12,c01
PRX0024,2001,3.28174833189258,1.97273,0.36631,1.7,3,1.3,11,e01
PRX0025,2001,0.390617040741055,2.5,0.11952,2.3,2.7,0.4,8,d01
PRX0026,2001,0,2.04286,0.07868,2,2.2,0.2,7,h01
PRX0027,2001,0.769268440873096,1.78333,0.05774,1.7,1.9,0.2,12,a01
PRX0028,2001,1.79746768523169,1.99231,0.09541,1.8,2.2,0.4,13,e01
PRX0029,2001,4.5112859564725,1.71818,0.17787,1.4,1.9,0.5,11,a01
PRX0030,2001,0,1.48889,0.31002,1.2,2,0.8,9,b01
PRX0031,2001,0,1.46154,0.42922,1,2.8,1.8,13,f01
PRX0032,2001,0.713700404430229,2.2625,0.51252,1.5,2.9,1.4,8,g01
PRX0033,2001,0,1.42222,0.09718,1.3,1.5,0.2,9,g01
PRX0034,2001,0.08,2.37273,0.22843,1.9,2.8,0.9,11,c01
PRX0035,2001,6.95166235810172,1.95,0.36591,1.5,2.8,1.3,10,g01
PRX0036,2001,0,1.83333,0.32404,1.5,2.5,1,10,d01
PRX0037,2001,0.24,2.70833,0.43788,2.5,4,1.5,12,a01
PRX0038,2001,3.09658729476246,2.26667,0.251661147842358,2,2.5,0.5,3,mail01
PRX0039,2001,2.18940978001033,2.43077,0.11094,2.4,2.8,0.4,13,c01
PRX0040,2001,0.43,1.96364,0.35853,1,2.4,1.4,11,e01
PRX0041,2001,4.8765359678236,1.53333,0.17233,1.3,2,0.7,12,a01
PRX0042,2001,0,2.75714,0.55934,1.5,3,1.5,7,h01
PRX0043,2001,0,1.675,0.18153,1.5,2,0.5,12,f01
PRX0044,2001,3.94824411091075,1.33333,0.23094,1.2,1.6,0.4,3,mail01
PRX0045,2001,1.47086724898778,1.42,0.07888,1.3,1.5,0.2,10,c01
PRX0046,2001,0,1.85,0.14142,1.8,2.2,0.4,8,d01
PRX0047,2001,0,3.16923,0.67254,2,4.1,2.1,13,c01
PRX0048,2001,1.87063983375892,1.525,0.0866,1.5,1.8,0.3,12,c01
PRX0049,2001,0,2.04167,0.14434,2,2.5,0.5,12,f01
PRX0050,2002,0.57427945874161,1.7,0.14907,1.5,2,0.5,10,f02
PRX0051,2002,0,1.5875,0.0991,1.4,1.7,0.3,8,d02
PRX0052,2002,0.654343203009979,1.68571,0.27946,1.4,2.1,0.7,7,c02
PRX0053,2002,3.72019869043869,1.80909,0.03015,1.8,1.9,0.0999999999999999,11,a02
PRX0054,2002,0,1.67143,0.1976,1.5,2,0.5,7,f02
PRX0055,2002,1,2.625,0.08864,2.5,2.7,0.2,8,b02
PRX0056,2002,0,2.46,0.11738,2.3,2.7,0.4,10,f02
PRX0057,2002,0,1.56667,0.404145188432737,1.2,2,0.8,3,mail02
PRX0058,2002,0,1.85,0.2,1.5,2.2,0.7,8,c02
PRX0059,2002,0,1.73333,0.0577350269189626,1.7,1.8,0.1,3,mail02
PRX0060,2002,1.89747761566906,2.56667,0.13229,2.4,2.8,0.4,9,d02
PRX0061,2002,0.9,1.58,0.15492,1.5,2,0.5,10,f02
PRX0062,2002,1,1.87143,0.16036,1.7,2,0.3,7,c02
PRX0063,2002,0.443691863483395,1.67,0.14181,1.5,1.9,0.4,10,f02
PRX0064,2002,2.24332311281769,1.81818,0.22279,1.5,2.1,0.6,11,a02
PRX0065,2002,0,2.0875,0.0991,2,2.3,0.3,8,b02
PRX0066,2002,3.64562641676988,2.125,0.41318,1.5,3,1.5,8,d02
PRX0067,2002,0.57,2.45455,0.112815214963553,2.3,2.6,0.3,11,e02
PRX0068,2002,4.10179209088854,1.5875,0.17269,1.5,2,0.5,8,d02
PRX0069,2002,0,2.46667,0.25166,2.2,2.7,0.5,3,mail02
PRX0070,2002,0,1.9125,0.33568,1.3,2.5,1.2,8,c02
PRX0071,2002,0,1.725,0.20529,1.4,2,0.6,8,d02
PRX0072,2002,2.24112367888785,1.8,0.27775,1.3,2.3,1,8,b02
PRX0073,2002,1.62623155940412,2.92222,0.26822,2.7,3.5,0.8,9,d02
PRX0074,2002,0,2.09,0.18529,1.9,2.5,0.6,10,f02
PRX0075,2002,14.6787439182644,1.64167,0.442016728053124,1.4,3,1.6,12,e02
PRX0076,2002,1.6,2.83333,0.280691786106895,2.8,3,0.2,12,e02
PRX0077,2002,0,2.675,0.21213,2.5,3,0.5,8,f02
PRX0078,2002,0.85,1.5875,0.18851,1.3,1.8,0.5,8,b02
PRX0079,2002,0.801913191026148,3.3,0.989949493661169,2.6,4,1.4,2,mail02
PRX0080,2003,7.94207843703661,1.9,0,1.9,1.9,0,2,mail03
PRX0081,2003,1.10212534131118,1.68181818181818,0.208893187146836,1.4,2,0.6,11,d03
PRX0082,2003,11.9209204585146,2.00833,0.31176,1.5,2.6,1.1,12,a03
PRX0083,2003,0,2.13846,0.325418862233636,1.8,3,1.2,13,c03
PRX0084,2003,35.8615648801147,1.9,0.36181,1.7,3,1.3,12,a03
PRX0085,2002,9.82493176220677,1.5,0,1.5,1.5,0,8,g03
PRX0086,2003,0.264,1.925,0.0452267016866646,1.9,2,0.1,12,c03
PRX0087,2003,0.898733842615844,2.15556,0.227383589344739,2,2.5,0.5,18,b03
PRX0088,2003,0,2.1,0.173205080756888,2,2.3,0.3,3,mail03
PRX0089,2003,2.55584141826925,1.66666666666667,0.0499999999999999,1.6,1.7,0.0999999999999999,9,h03
PRX0090,2003,0,1.98182,0.345884899404936,1,2.3,1.3,11,c03
PRX0091,2003,0.89,2.4,0.793152513134081,1.5,4,2.5,12,f03
PRX0092,2003,0,1.90909,0.157826141399614,1.7,2.2,0.5,11,c03
PRX0093,2003,3.20370205570882,1.6375,0.130247018062932,1.4,1.8,0.4,8,g03
PRX0094,2003,1.23432219324118,2.5,0.06325,2.4,2.6,0.2,6,e2_03
PRX0095,2003,0,2.52,0.06325,2.5,2.7,0.2,10,a03
PRX0096,2003,1.2,2.51,0.24244,2.1,2.8,0.7,10,a03
PRX0097,2003,6.22510332823999,1.3,0,1.3,1.3,0,6,e1_03
PRX0098,2003,12.971297803602,1.5,0,1.5,1.5,0,3,mail03
PRX0099,2003,5.2171591297211,1.73333,0.16697,1.5,2,0.5,12,a03
PRX0100,2003,0,2.13333,0.1557,2,2.4,0.4,12,a03
PRX0101,2003,0.302048752865996,1.85,0.05477,1.8,1.9,0.0999999999999999,6,e2_03
PRX0102,2003,0.366408939148472,2.24167,0.12401,2,2.5,0.5,12,a03
PRX0103,2003,0.693317489199597,2.3,0.55759,1.5,3.6,2.1,12,a03
PRX0104,2002,4.6962283774569,2.125,0.175254916376933,1.9,2.3,0.4,8,g03
PRX0105,2004,3.80644774592507,1.60909,0.137510330190466,1.3,1.7,0.4,11,c2_04
PRX0106,2004,0.897311654283766,1.43636,0.191168654714767,1.3,2,0.7,11,d2_04
